,word,frequency
148,baboon,0.018618042226487524
1567,penguin,0.016122840690978888
349,capepoint,0.015163147792706335
2388,wild,0.007485604606525912
534,day,0.007293666026871401
179,beach,0.007101727447216891
2161,today,0.005566218809980806
2289,view,0.0049904030710172746
1417,nature,0.0047984644913627635
925,hanging,0.004606525911708253
272,bouldersbeach,0.004414587332053743
1385,mountain,0.004030710172744722
576,die,0.004030710172744722
2190,travel,0.004030710172744722
1349,missing,0.003838771593090211
1742,road,0.003838771593090211
1215,little,0.003838771593090211
157,bad,0.0036468330134357004
1479,ocean,0.0036468330134357004
965,hike,0.0036468330134357004
1874,shot,0.00345489443378119
2135,thing,0.00345489443378119
1862,shark,0.0032629558541266796
843,get,0.0032629558541266796
1968,spent,0.0032629558541266796
2422,world,0.003071017274472169
452,cold,0.003071017274472169
1613,place,0.0028790786948176585
2354,way,0.0028790786948176585
1837,selfie,0.0028790786948176585
1829,see,0.0028790786948176585
268,bottom,0.0028790786948176585
1242,lost,0.0028790786948176585
151,back,0.0028790786948176585
70,amazing,0.0028790786948176585
1366,moment,0.002687140115163148
1436,never,0.002687140115163148
770,first,0.002687140115163148
428,cityofcapetown,0.0024952015355086373
1213,lionshead,0.0024952015355086373
628,e,0.0024952015355086373
1515,ostrich,0.0024952015355086373
2154,time,0.0024952015355086373
82,animal,0.0023032629558541267
2085,tablemountain,0.0023032629558541267
493,crazy,0.0023032629558541267
891,great,0.0023032629558541267
537,de,0.0023032629558541267
1169,last,0.0023032629558541267
1248,lovecapetown,0.002111324376199616
270,boulder,0.002111324376199616
141,awesome,0.002111324376199616
1560,peak,0.002111324376199616
1205,like,0.002111324376199616
1590,photo,0.002111324376199616
402,chapman,0.0019193857965451055
2361,week,0.0019193857965451055
2404,windy,0.0019193857965451055
1384,morning,0.0019193857965451055
1183,leave,0.0019193857965451055
364,car,0.0019193857965451055
1438,new,0.001727447216890595
1899,simonstown,0.001727447216890595
2402,wind,0.001727447216890595
621,du,0.001727447216890595
2047,summer,0.001727447216890595
2395,wildlife,0.001727447216890595
1368,monday,0.001727447216890595
2052,sunday,0.001727447216890595
273,bout,0.001727447216890595
443,cloud,0.001727447216890595
966,hiking,0.001727447216890595
678,even,0.0015355086372360845
503,current,0.0015355086372360845
2094,take,0.0015355086372360845
1269,mad,0.0015355086372360845
1885,side,0.0015355086372360845
1282,mako,0.0015355086372360845
1865,shipwreck,0.0015355086372360845
795,forest,0.0015355086372360845
201,best,0.0015355086372360845
1576,people,0.0015355086372360845
768,fire,0.0015355086372360845
1870,shooting,0.0015355086372360845
39,afternoon,0.0015355086372360845
121,atlantic,0.0015355086372360845
910,guy,0.0015355086372360845
274,boy,0.0015355086372360845
1405,n,0.0015355086372360845
1973,spot,0.0015355086372360845
1370,monkey,0.0015355086372360845
368,carefree,0.001343570057581574
362,capture,0.001343570057581574
1801,say,0.001343570057581574
254,boat,0.001343570057581574
1197,life,0.001343570057581574
472,continent,0.001343570057581574
1192,let,0.001343570057581574
1291,mar,0.001343570057581574
1799,saw,0.001343570057581574
1447,night,0.001343570057581574
245,blue,0.001343570057581574
2173,tough,0.001343570057581574
2334,wanderlust,0.001343570057581574
2177,tourist,0.001343570057581574
499,cross,0.001343570057581574
1083,iphone,0.001343570057581574
701,explore,0.001343570057581574
2341,war,0.001343570057581574
1123,kaap,0.001343570057581574
2195,travelgram,0.001343570057581574
916,hair,0.001343570057581574
939,head,0.001343570057581574
1290,many,0.0011516314779270633
1600,picture,0.0011516314779270633
2375,western,0.0011516314779270633
436,climb,0.0011516314779270633
2059,sunset,0.0011516314779270633
1915,small,0.0011516314779270633
782,flower,0.0011516314779270633
2144,thought,0.0011516314779270633
2231,two,0.0011516314779270633
2350,water,0.0011516314779270633
403,chapmanspeak,0.0011516314779270633
357,capetownliving,0.0011516314779270633
69,always,0.0011516314779270633
883,gopro,0.0011516314779270633
1369,monde,0.0011516314779270633
173,bay,0.0011516314779270633
971,hit,0.0011516314779270633
956,hey,0.0011516314779270633
1311,meet,0.0011516314779270633
2420,word,0.0011516314779270633
1866,shit,0.0011516314779270633
1236,looking,0.0011516314779270633
2449,yesterday,0.0011516314779270633
2136,think,0.0011516314779270633
1795,saturday,0.0011516314779270633
480,could,0.0011516314779270633
1773,run,0.0011516314779270633
1166,landscape,0.0011516314779270633
234,black,0.0011516314779270633
1747,roadtrip,0.0011516314779270633
2158,tip,0.0011516314779270633
1212,lion,0.0011516314779270633
1121,k,0.0011516314779270633
2084,table,0.0011516314779270633
1216,live,0.0011516314779270633
217,big,0.0011516314779270633
739,feel,0.0011516314779270633
1171,late,0.0011516314779270633
2371,went,0.0009596928982725527
2433,wrong,0.0009596928982725527
1685,ran,0.0009596928982725527
2407,winter,0.0009596928982725527
1673,quick,0.0009596928982725527
1775,running,0.0009596928982725527
1634,pose,0.0009596928982725527
2322,wait,0.0009596928982725527
1429,need,0.0009596928982725527
2326,walk,0.0009596928982725527
224,bird,0.0009596928982725527
2421,work,0.0009596928982725527
811,friday,0.0009596928982725527
726,far,0.0009596928982725527
803,found,0.0009596928982725527
1740,right,0.0009596928982725527
1504,op,0.0009596928982725527
806,freezing,0.0009596928982725527
2304,visitsouthafrica,0.0009596928982725527
1391,much,0.0009596928982725527
2014,storm,0.0009596928982725527
1180,le,0.0009596928982725527
2097,taking,0.0009596928982725527
122,atlanticocean,0.0009596928982725527
87,another,0.0009596928982725527
516,da,0.0009596928982725527
1261,lunch,0.0009596928982725527
1270,made,0.0009596928982725527
1272,madness,0.0009596928982725527
144,b,0.0009596928982725527
2212,tripping,0.0009596928982725527
2235,u,0.0009596928982725527
1531,p,0.0009596928982725527
2007,still,0.0009596928982725527
543,deep,0.0009596928982725527
1388,mr,0.0009596928982725527
979,home,0.0009596928982725527
985,hoop,0.0009596928982725527
1343,minute,0.0009596928982725527
995,houtbay,0.0009596928982725527
592,diver,0.0007677543186180423
1738,ride,0.0007677543186180423
460,coming,0.0007677543186180423
1698,really,0.0007677543186180423
759,find,0.0007677543186180423
745,fell,0.0007677543186180423
733,favourite,0.0007677543186180423
1810,scenery,0.0007677543186180423
1378,moody,0.0007677543186180423
1204,lighthouse,0.0007677543186180423
542,decided,0.0007677543186180423
703,explorer,0.0007677543186180423
1151,know,0.0007677543186180423
695,experience,0.0007677543186180423
1196,lie,0.0007677543186180423
1751,rock,0.0007677543186180423
1160,l,0.0007677543186180423
1173,later,0.0007677543186180423
681,every,0.0007677543186180423
251,bnw,0.0007677543186180423
489,cowsharks,0.0007677543186180423
485,couple,0.0007677543186180423
657,end,0.0007677543186180423
1227,lonely,0.0007677543186180423
1677,r,0.0007677543186180423
517,dafrika,0.0007677543186180423
813,friend,0.0007677543186180423
872,goeie,0.0007677543186180423
827,fynbos,0.0007677543186180423
1486,oh,0.0007677543186180423
419,chilly,0.0007677543186180423
1505,open,0.0007677543186180423
1510,ormsdirect,0.0007677543186180423
599,donkey,0.0007677543186180423
1519,outdoors,0.0007677543186180423
326,camera,0.0007677543186180423
1004,human,0.0007677543186180423
320,cabo,0.0007677543186180423
1018,igerscapetown,0.0007677543186180423
521,damn,0.0007677543186180423
1279,make,0.0007677543186180423
874,going,0.0007677543186180423
1609,pingviner,0.0007677543186180423
526,dangerous,0.0007677543186180423
378,catching,0.0007677543186180423
622,dude,0.0007677543186180423
300,bucketlist,0.0007677543186180423
1669,put,0.0007677543186180423
440,close,0.0007677543186180423
1674,quite,0.0007677543186180423
1464,nothing,0.0007677543186180423
1038,impossible,0.0007677543186180423
1234,look,0.0007677543186180423
184,beast,0.0007677543186180423
192,behind,0.0007677543186180423
140,away,0.0007677543186180423
2353,wave,0.0007677543186180423
2096,taken,0.0007677543186180423
2182,trail,0.0007677543186180423
1974,spotted,0.0007677543186180423
19,adventure,0.0007677543186180423
1860,shame,0.0007677543186180423
2431,wow,0.0007677543186180423
2348,watching,0.0007677543186180423
2430,would,0.0007677543186180423
2183,trailrunning,0.0007677543186180423
2367,weird,0.0007677543186180423
2217,trying,0.0007677543186180423
2362,weekend,0.0007677543186180423
137,avoid,0.0007677543186180423
2227,tweetcapetown,0.0007677543186180423
2034,stunning,0.0007677543186180423
116,ash,0.0007677543186180423
2159,tired,0.0007677543186180423
2323,waiting,0.0007677543186180423
2384,white,0.0007677543186180423
1907,sitting,0.0007677543186180423
1819,sea,0.0007677543186180423
107,around,0.0007677543186180423
2377,whale,0.0007677543186180423
2065,sure,0.0007677543186180423
2447,yes,0.0007677543186180423
235,blackandwhite,0.0007677543186180423
2442,year,0.0007677543186180423
407,chasing,0.0005758157389635317
958,hidden,0.0005758157389635317
1356,mm,0.0005758157389635317
1336,mind,0.0005758157389635317
1324,met,0.0005758157389635317
949,hell,0.0005758157389635317
2011,stone,0.0005758157389635317
1318,memory,0.0005758157389635317
957,hi,0.0005758157389635317
410,check,0.0005758157389635317
943,heart,0.0005758157389635317
2013,stop,0.0005758157389635317
920,halfway,0.0005758157389635317
2297,vir,0.0005758157389635317
1359,mo,0.0005758157389635317
1950,sound,0.0005758157389635317
1954,southafricaza,0.0005758157389635317
1956,southern,0.0005758157389635317
2336,wanna,0.0005758157389635317
1964,spectacular,0.0005758157389635317
573,diaz,0.0005758157389635317
1421,navy,0.0005758157389635317
1406,na,0.0005758157389635317
569,dia,0.0005758157389635317
912,h,0.0005758157389635317
2315,w,0.0005758157389635317
1393,mum,0.0005758157389635317
919,half,0.0005758157389635317
60,almost,0.0005758157389635317
921,hand,0.0005758157389635317
1988,start,0.0005758157389635317
1372,monochrome,0.0005758157389635317
1989,started,0.0005758157389635317
2000,stealing,0.0005758157389635317
411,checking,0.0005758157389635317
671,esperan,0.0005758157389635317
1297,massive,0.0005758157389635317
2174,tour,0.0005758157389635317
1220,lo,0.0005758157389635317
1044,incredible,0.0005758157389635317
1046,indian,0.0005758157389635317
2087,tablemountainnationalpark,0.0005758157389635317
464,competition,0.0005758157389635317
1048,indigenous,0.0005758157389635317
115,as,0.0005758157389635317
1203,light,0.0005758157389635317
471,constantia,0.0005758157389635317
2171,touch,0.0005758157389635317
1225,lol,0.0005758157389635317
476,coolest,0.0005758157389635317
2170,totally,0.0005758157389635317
1108,joy,0.0005758157389635317
484,country,0.0005758157389635317
2137,thirsty,0.0005758157389635317
2145,three,0.0005758157389635317
2151,tie,0.0005758157389635317
1161,la,0.0005758157389635317
1148,km,0.0005758157389635317
1033,image,0.0005758157389635317
1022,igerssouthafrica,0.0005758157389635317
2267,van,0.0005758157389635317
539,dead,0.0005758157389635317
417,chillin,0.0005758157389635317
546,definitely,0.0005758157389635317
149,baby,0.0005758157389635317
983,hook,0.0005758157389635317
1285,man,0.0005758157389635317
64,already,0.0005758157389635317
426,city,0.0005758157389635317
2342,warm,0.0005758157389635317
990,hot,0.0005758157389635317
992,hour,0.0005758157389635317
1231,long,0.0005758157389635317
2242,um,0.0005758157389635317
435,cliff,0.0005758157389635317
994,hout,0.0005758157389635317
438,climbing,0.0005758157389635317
999,hr,0.0005758157389635317
1247,love,0.0005758157389635317
445,cloudporn,0.0005758157389635317
1243,lot,0.0005758157389635317
131,au,0.0005758157389635317
2028,strike,0.0005758157389635317
497,crewlife,0.0005758157389635317
323,call,0.0005758157389635317
1608,pinguins,0.0005758157389635317
1757,roll,0.0005758157389635317
633,earth,0.0005758157389635317
1554,path,0.0005758157389635317
805,free,0.0005758157389635317
1835,seen,0.0005758157389635317
798,forget,0.0005758157389635317
1574,peninsula,0.0005758157389635317
1838,selfies,0.0005758157389635317
1589,phot,0.0005758157389635317
787,following,0.0005758157389635317
712,face,0.0005758157389635317
1598,pic,0.0005758157389635317
617,drive,0.0005758157389635317
618,driving,0.0005758157389635317
1895,silly,0.0005758157389635317
2358,weather,0.0005758157389635317
723,family,0.0005758157389635317
1705,redbulllionheart,0.0005758157389635317
734,fear,0.0005758157389635317
219,bike,0.0005758157389635317
216,bi,0.0005758157389635317
1883,sick,0.0005758157389635317
1635,posing,0.0005758157389635317
1643,pra,0.0005758157389635317
1649,pretend,0.0005758157389635317
740,feeling,0.0005758157389635317
636,easy,0.0005758157389635317
14,actually,0.0005758157389635317
288,bring,0.0005758157389635317
631,early,0.0005758157389635317
821,fun,0.0005758157389635317
748,fem,0.0005758157389635317
1934,som,0.0005758157389635317
660,endemic,0.0005758157389635317
849,getting,0.0005758157389635317
337,canon,0.0005758157389635317
248,blur,0.0005758157389635317
336,cannot,0.0005758157389635317
353,capepointsa,0.0005758157389635317
1920,smell,0.0005758157389635317
854,girl,0.0005758157389635317
188,beauty,0.0005758157389635317
680,ever,0.0005758157389635317
38,afrique,0.0005758157389635317
253,boa,0.0005758157389635317
1941,soon,0.0005758157389635317
1923,snake,0.0005758157389635317
2200,traveltheworld,0.00038387715930902113
1129,kanky,0.00038387715930902113
2167,tomorrow,0.00038387715930902113
2462,zip,0.00038387715930902113
690,excuse,0.00038387715930902113
1130,kapstadt,0.00038387715930902113
2428,worth,0.00038387715930902113
2168,took,0.00038387715930902113
1134,kasuba,0.00038387715930902113
1011,ich,0.00038387715930902113
1007,hunting,0.00038387715930902113
1138,kenya,0.00038387715930902113
2224,turn,0.00038387715930902113
2427,worse,0.00038387715930902113
677,et,0.00038387715930902113
2165,together,0.00038387715930902113
719,falling,0.00038387715930902113
679,evening,0.00038387715930902113
2434,ww,0.00038387715930902113
1072,instatravel,0.00038387715930902113
1067,instalifo,0.00038387715930902113
699,expirience,0.00038387715930902113
1084,iphoneonly,0.00038387715930902113
702,explorecapetown,0.00038387715930902113
1066,instalensmacro,0.00038387715930902113
1093,jackass,0.00038387715930902113
707,exposed,0.00038387715930902113
720,falsebay,0.00038387715930902113
1099,je,0.00038387715930902113
1065,instalens,0.00038387715930902113
1107,jou,0.00038387715930902113
711,f,0.00038387715930902113
718,fall,0.00038387715930902113
2448,yesoldsport,0.00038387715930902113
2450,yet,0.00038387715930902113
877,good,0.00038387715930902113
2406,wine,0.00038387715930902113
1000,hubbalubs,0.00038387715930902113
809,fresh,0.00038387715930902113
814,friendship,0.00038387715930902113
816,front,0.00038387715930902113
933,hashtag,0.00038387715930902113
928,happyfeet,0.00038387715930902113
825,funny,0.00038387715930902113
927,happy,0.00038387715930902113
2300,visibility,0.00038387715930902113
828,g,0.00038387715930902113
847,getoutsidesa,0.00038387715930902113
911,gypsy,0.00038387715930902113
856,give,0.00038387715930902113
857,given,0.00038387715930902113
909,gun,0.00038387715930902113
859,glen,0.00038387715930902113
861,globe,0.00038387715930902113
906,grumpy,0.00038387715930902113
864,gloomy,0.00038387715930902113
2332,wander,0.00038387715930902113
905,grows,0.00038387715930902113
886,gotcha,0.00038387715930902113
866,go,0.00038387715930902113
885,gorge,0.00038387715930902113
2344,waste,0.00038387715930902113
2360,weed,0.00038387715930902113
948,height,0.00038387715930902113
749,fernweh,0.00038387715930902113
808,frente,0.00038387715930902113
753,fight,0.00038387715930902113
754,fighting,0.00038387715930902113
2237,ugly,0.00038387715930902113
2426,worry,0.00038387715930902113
760,finding,0.00038387715930902113
767,finn,0.00038387715930902113
2417,wonder,0.00038387715930902113
2343,warning,0.00038387715930902113
2243,uma,0.00038387715930902113
2401,win,0.00038387715930902113
2247,unbelievable,0.00038387715930902113
775,fitness,0.00038387715930902113
777,flat,0.00038387715930902113
2253,unreal,0.00038387715930902113
978,holiday,0.00038387715930902113
2392,wildfire,0.00038387715930902113
2279,ver,0.00038387715930902113
961,hiding,0.00038387715930902113
793,force,0.00038387715930902113
796,forever,0.00038387715930902113
804,freaked,0.00038387715930902113
2283,vertigo,0.00038387715930902113
950,hello,0.00038387715930902113
907,guess,0.00038387715930902113
1808,scatter,0.00038387715930902113
2157,tintswalo,0.00038387715930902113
1545,part,0.00038387715930902113
1548,passage,0.00038387715930902113
1916,smaller,0.00038387715930902113
1550,passing,0.00038387715930902113
1552,past,0.00038387715930902113
1555,pattarunningteam,0.00038387715930902113
1913,slip,0.00038387715930902113
1910,skull,0.00038387715930902113
1563,pelagics,0.00038387715930902113
1909,skill,0.00038387715930902113
1581,permanent,0.00038387715930902113
1588,phone,0.00038387715930902113
1901,since,0.00038387715930902113
1595,photography,0.00038387715930902113
1897,simon,0.00038387715930902113
1606,pingu,0.00038387715930902113
1894,sillhouette,0.00038387715930902113
1618,platboom,0.00038387715930902113
1546,party,0.00038387715930902113
1535,pain,0.00038387715930902113
1157,kyk,0.00038387715930902113
666,er,0.00038387715930902113
1460,nope,0.00038387715930902113
1463,north,0.00038387715930902113
1471,ny,0.00038387715930902113
1472,nyc,0.00038387715930902113
1475,oak,0.00038387715930902113
1478,occasional,0.00038387715930902113
1929,society,0.00038387715930902113
1481,och,0.00038387715930902113
1490,okyanusu,0.00038387715930902113
1492,oldchap,0.00038387715930902113
1496,olloclip,0.00038387715930902113
1925,snapped,0.00038387715930902113
1924,snap,0.00038387715930902113
1511,ormsinbnw,0.00038387715930902113
1523,outsideisfree,0.00038387715930902113
1525,overcast,0.00038387715930902113
1528,overlooking,0.00038387715930902113
1625,pointe,0.00038387715930902113
1889,sigma,0.00038387715930902113
1636,possible,0.00038387715930902113
1644,practically,0.00038387715930902113
1728,rest,0.00038387715930902113
1847,seriously,0.00038387715930902113
1841,send,0.00038387715930902113
1744,roadside,0.00038387715930902113
1827,secret,0.00038387715930902113
1826,second,0.00038387715930902113
1758,rolling,0.00038387715930902113
1825,secluded,0.00038387715930902113
1776,rust,0.00038387715930902113
1784,safely,0.00038387715930902113
1790,sand,0.00038387715930902113
1821,seabreeze,0.00038387715930902113
1793,sandy,0.00038387715930902113
1818,se,0.00038387715930902113
1816,scubadi,0.00038387715930902113
1815,scuba,0.00038387715930902113
1807,scat,0.00038387715930902113
1857,shadow,0.00038387715930902113
1719,remains,0.00038387715930902113
1861,shameless,0.00038387715930902113
1672,que,0.00038387715930902113
1650,prettymarvellous,0.00038387715930902113
1653,probably,0.00038387715930902113
1654,problem,0.00038387715930902113
1655,process,0.00038387715930902113
1658,proper,0.00038387715930902113
1668,pushing,0.00038387715930902113
1879,showing,0.00038387715930902113
1875,shotgun,0.00038387715930902113
1863,sharkdiving,0.00038387715930902113
1873,short,0.00038387715930902113
1872,shore,0.00038387715930902113
1681,rain,0.00038387715930902113
1683,rainy,0.00038387715930902113
1684,raise,0.00038387715930902113
1701,recently,0.00038387715930902113
1706,redbullza,0.00038387715930902113
1458,none,0.00038387715930902113
1454,noiretblanc,0.00038387715930902113
1444,nice,0.00038387715930902113
2031,strut,0.00038387715930902113
2089,tafelberg,0.00038387715930902113
2081,ta,0.00038387715930902113
1217,liveauthentic,0.00038387715930902113
1219,llandudno,0.00038387715930902113
1221,local,0.00038387715930902113
2079,swell,0.00038387715930902113
1811,sch,0.00038387715930902113
2069,surgy,0.00038387715930902113
2067,surfari,0.00038387715930902113
1240,lose,0.00038387715930902113
1241,losing,0.00038387715930902113
1245,lounge,0.00038387715930902113
2061,super,0.00038387715930902113
2050,summit,0.00038387715930902113
1265,macaco,0.00038387715930902113
2036,style,0.00038387715930902113
1266,machine,0.00038387715930902113
2104,taraf,0.00038387715930902113
1208,lindiwe,0.00038387715930902113
2106,taste,0.00038387715930902113
1176,layover,0.00038387715930902113
2155,timeofourlives,0.00038387715930902113
2153,till,0.00038387715930902113
1162,lack,0.00038387715930902113
1164,lame,0.00038387715930902113
2147,throwback,0.00038387715930902113
1167,lapse,0.00038387715930902113
2138,thisisafrica,0.00038387715930902113
1178,lazy,0.00038387715930902113
2110,tb,0.00038387715930902113
2129,thanks,0.00038387715930902113
2128,thank,0.00038387715930902113
2127,th,0.00038387715930902113
1186,left,0.00038387715930902113
2119,tell,0.00038387715930902113
1194,levar,0.00038387715930902113
2114,team,0.00038387715930902113
1268,macro,0.00038387715930902113
1277,mais,0.00038387715930902113
1443,ng,0.00038387715930902113
2026,stress,0.00038387715930902113
1377,mood,0.00038387715930902113
1380,moon,0.00038387715930902113
1984,stair,0.00038387715930902113
1979,springflowers,0.00038387715930902113
1976,spring,0.00038387715930902113
1396,must,0.00038387715930902113
1401,mystery,0.00038387715930902113
1971,splendidviews,0.00038387715930902113
1970,splattering,0.00038387715930902113
1969,spider,0.00038387715930902113
1427,nearly,0.00038387715930902113
1428,necessary,0.00038387715930902113
1967,spend,0.00038387715930902113
1434,nelson,0.00038387715930902113
1963,specie,0.00038387715930902113
1961,speak,0.00038387715930902113
1442,next,0.00038387715930902113
1999,steal,0.00038387715930902113
2006,stick,0.00038387715930902113
1358,mnafirstafricatrip,0.00038387715930902113
1301,matter,0.00038387715930902113
1281,making,0.00038387715930902113
2025,streetphotography,0.00038387715930902113
1286,managed,0.00038387715930902113
1287,mandela,0.00038387715930902113
2023,stranger,0.00038387715930902113
2019,strand,0.00038387715930902113
1293,mare,0.00038387715930902113
2017,straight,0.00038387715930902113
1350,mission,0.00038387715930902113
1312,meeting,0.00038387715930902113
1326,metre,0.00038387715930902113
1330,middle,0.00038387715930902113
1334,min,0.00038387715930902113
2015,story,0.00038387715930902113
2012,stoned,0.00038387715930902113
1348,missed,0.00038387715930902113
1228,lonelyplanet,0.00038387715930902113
0,aaaand,0.00038387715930902113
413,cheeky,0.00038387715930902113
325,came,0.00038387715930902113
580,dire,0.00038387715930902113
458,come,0.00038387715930902113
612,dream,0.00038387715930902113
379,cause,0.00038387715930902113
26,afri,0.00038387715930902113
347,capepeninsula,0.00038387715930902113
44,aground,0.00038387715930902113
465,complain,0.00038387715930902113
45,agulhas,0.00038387715930902113
291,bro,0.00038387715930902113
380,caution,0.00038387715930902113
24,affe,0.00038387715930902113
276,braai,0.00038387715930902113
194,believe,0.00038387715930902113
195,benguela,0.00038387715930902113
468,condition,0.00038387715930902113
48,air,0.00038387715930902113
383,ceeceeteam,0.00038387715930902113
606,dp,0.00038387715930902113
520,damage,0.00038387715930902113
641,edit,0.00038387715930902113
66,also,0.00038387715930902113
120,athlete,0.00038387715930902113
81,angry,0.00038387715930902113
591,dive,0.00038387715930902113
541,death,0.00038387715930902113
377,catch,0.00038387715930902113
335,cannon,0.00038387715930902113
96,apostle,0.00038387715930902113
616,drinking,0.00038387715930902113
374,casual,0.00038387715930902113
446,clown,0.00038387715930902113
35,africanpenguin,0.00038387715930902113
447,clumsy,0.00038387715930902113
532,dat,0.00038387715930902113
449,coffee,0.00038387715930902113
98,apparently,0.00038387715930902113
514,cycling,0.00038387715930902113
615,drink,0.00038387715930902113
126,attacked,0.00038387715930902113
442,closer,0.00038387715930902113
530,darkness,0.00038387715930902113
95,ape,0.00038387715930902113
212,beware,0.00038387715930902113
93,anything,0.00038387715930902113
531,dassie,0.00038387715930902113
92,anyone,0.00038387715930902113
453,colleague,0.00038387715930902113
284,breath,0.00038387715930902113
285,breathtaking,0.00038387715930902113
454,collide,0.00038387715930902113
42,ago,0.00038387715930902113
185,beautiful,0.00038387715930902113
474,cool,0.00038387715930902113
49,airport,0.00038387715930902113
7,able,0.00038387715930902113
564,det,0.00038387715930902113
645,een,0.00038387715930902113
150,bachelor,0.00038387715930902113
316,bwphotography,0.00038387715930902113
598,done,0.00038387715930902113
315,bw,0.00038387715930902113
244,blossom,0.00038387715930902113
393,chacma,0.00038387715930902113
561,design,0.00038387715930902113
363,captured,0.00038387715930902113
527,dankie,0.00038387715930902113
155,backtothemotherland,0.00038387715930902113
359,cappoint,0.00038387715930902113
658,endangered,0.00038387715930902113
659,ended,0.00038387715930902113
55,alien,0.00038387715930902113
500,crossing,0.00038387715930902113
